hardware_platform,compiler,threads_num,directive_name,overhead,benchmark_class
Cirrus,Intel 19.0,1,COPYIN 1,0.1707,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 19.0,16,PRIVATE 1,1.2951,Array
Cirrus,Intel 19.0,16,FIRSTPRIVATE 1,1.2652,Array
Cirrus,Intel 19.0,16,COPYPRIVATE 1,3.4758,Array
Cirrus,Intel 19.0,16,COPYIN 1,2.426,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 19.0,2,PRIVATE 1,0.5394,Array
Cirrus,Intel 19.0,2,FIRSTPRIVATE 1,0.559,Array
Cirrus,Intel 19.0,2,COPYPRIVATE 1,1.1429,Array
Cirrus,Intel 19.0,2,COPYIN 1,0.8577,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 19.0,32,PRIVATE 1,6.9837,Array
Cirrus,Intel 19.0,32,FIRSTPRIVATE 1,2.6289,Array
Cirrus,Intel 19.0,32,COPYPRIVATE 1,4.9842,Array
Cirrus,Intel 19.0,32,COPYIN 1,3.3852,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 19.0,4,PRIVATE 1,0.7217,Array
Cirrus,Intel 19.0,4,FIRSTPRIVATE 1,0.7229,Array
Cirrus,Intel 19.0,4,COPYPRIVATE 1,1.5535,Array
Cirrus,Intel 19.0,4,COPYIN 1,1.1985,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Cirrus,Intel 19.0,8,PRIVATE 1,1.0482,Array
Cirrus,Intel 19.0,8,FIRSTPRIVATE 1,1.0478,Array
Cirrus,Intel 19.0,8,COPYPRIVATE 1,2.4328,Array
Cirrus,Intel 19.0,8,COPYIN 1,2.0237,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,ARM 20.0,1,PRIVATE 1,0.2798,Array
Fulhame,ARM 20.0,1,FIRSTPRIVATE 1,0.3074,Array
Fulhame,ARM 20.0,1,COPYPRIVATE 1,0.373,Array
Fulhame,ARM 20.0,1,COPYIN 1,0.3236,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,ARM 20.0,16,PRIVATE 1,24.5575,Array
Fulhame,ARM 20.0,16,FIRSTPRIVATE 1,17.8427,Array
Fulhame,ARM 20.0,16,COPYPRIVATE 1,35.9671,Array
Fulhame,ARM 20.0,16,COPYIN 1,14.7579,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,ARM 20.0,2,PRIVATE 1,1.1333,Array
Fulhame,ARM 20.0,2,FIRSTPRIVATE 1,1.1411,Array
Fulhame,ARM 20.0,2,COPYPRIVATE 1,2.069,Array
Fulhame,ARM 20.0,2,COPYIN 1,1.85,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,ARM 20.0,32,PRIVATE 1,63.1088,Array
Fulhame,ARM 20.0,32,FIRSTPRIVATE 1,40.795,Array
Fulhame,ARM 20.0,32,COPYPRIVATE 1,97.995,Array
Fulhame,ARM 20.0,32,COPYIN 1,47.661,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
Fulhame,ARM 20.0,4,PRIVATE 1,1.4902,Array
Fulhame,ARM 20.0,4,FIRSTPRIVATE 1,1.5342,Array
Fulhame,ARM 20.0,4,COPYPRIVATE 1,3.2866,Array
Fulhame,ARM 20.0,4,COPYIN 1,2.6693,Array
hardware_platform,compiler,threads_num,directive_name,overhead,Array
